Word	English	MTB Examples	BT Examples MN	BT Examples EN	BT Examples	audio	Count	ID
мөргөлдөөн	collision	Чухамхүү ингэвэл цэргийн мөргөлдөөнөөс зайлсхийж энх тайвныг хангаж болох юм.	ашиг сонирхлын мөргөлдөөн	conflict of interests	<p>төмөр зам дээрх мөргөлдөөн: a railway collision</p><p>цэргийн мөргөлдөөн: the military conflict</p><p>арьс өнгөний мөргөлдөөн: race conflict</p><p>ашиг сонирхлын мөргөлдөөн: conflict of interests</p>	[sound:58246.mp3]	108	58246
анхааралтай	considerate	 Нөхөд минь харанхуй шөнө анхааралтай яв гэв.	аажуухан бөгөөд анхааралтай	slowly and carefully	<p>аажуухан бөгөөд анхааралтай: slowly and carefully</p>	[sound:6068.mp3]	108	6068
цэнэглэх	prime	 Буугаа 	гар утас цэнэглэх	to charge a cell phone	<p>мэдээллээр цэнэглэх: to arm with information</p><p>тэжээлийн батарейг цэнэглэх: to charge a storage battery charge</p><p>тэжээлийн батарейг цэнэглэх: to charge a storage battery</p><p>гар утас цэнэглэх: to charge a cell phone</p>	[sound:126280.mp3]	108	126280
бөмбөгөр	globular	- Хүрэн суварга орой дээрээ бөмбөгөр догтой ажээ.				[sound:16046.mp3]	108	16046
судлал	analysis	Онолын асуудал дэвшүүлсэн судлал шүүмжлэлийн томхон өгүүлэл бараг гараагүй байна.				[sound:79231.mp3]	108	79231
нөлөөгүй	effectless	Иймд 				[sound:63430.mp3]	108	63430
үлэмж	very	Мөн уулын амыг өгсөхөд ойд мод үргэлжилсэн шавар намаг үлэмж, нэгхэн ч 	үлэмжийн ялгаа	a tremendous difference	<p>үлэмжийн ялгаа: a tremendous difference</p>	[sound:100373.mp3]	108	100373
нууцлаг	surd		нууцлаг инээмсэглэл	an inscrutable smile	<p>нууцлаг зан үйл: mystic rites</p><p>нууцлаг томьёо: a mystic formula</p><p>нууцлаг толбо: blind spot</p><p>нууцлаг арга: underhand methods</p><p>нууцлаг асуудал: a sensitive issue</p><p>нууцлаг газар: a secret hiding place</p><p>нууцлаг байдалд болсон яриа: talks held in secret</p><p>нууцлаг зүйлийг судлах ухаан: occult science</p><p>нууцлаг инээмсэглэл: an inscrutable smile</p>	[sound:64374.mp3]	108	64374
ургац	yield	"Сэтгэл сая амарч хурааж авах ургацынхаа тооцоог гаргав.
 Дэмбээ том бор аягаа барьсаар дүүрэн ногоотой шөлтэй тогоо руу өнгийж хараад –За наад ургацын далайгаасаа утгаад хийчих гэв.
Газрын ургацыг хатаасан гангийн халуун энд болно."	хомс ургац	lean harvest	<p>эрт ургац: a early crop</p><p>улаан буудайн ургац: a wheat crop</p><p>алимын ургац: the apple crop</p><p>улаан буудайн ургац: wheat harvest</p><p>хомс ургац: lean harvest</p>	[sound:96792.mp3]	108	96792
хишиг	gratification	" Богд эзэн хишиг хүртээж байхад би ийм санаж болох уу?
 Цацрын дотор суусан хүмүүст хундага дүүрэн сархдыг эрэмбэ дараалан барьж, үрс гаргахаар зориулан чанасан хонины ууцыг Цоросбай таллаж зочдод хишиг хүртээж өглөө.
Энэ хүү бидний амны хишгийг хомстгох нь ч юу 
 Өвөг дээдсийн үеэс өлзий хишиг оршсон нутаг.
 Эл хувцас өмссөн хүн хишиг буянаа барахгүй
 Еэ, амны хишиг нь дээрээ гарсан муу золиг, Үгүй ердөө их эд байх нь ээ гэж мангар Жанлав хэлээд Доржийг эгдүүцэн харав."				[sound:108843.mp3]	108	108843
цусан	bloody	" - Цус нөжөө цувруулсан хүн харагдав.
 Бие хутга жадны доор шурган, цус шүүсээр эсэргүүцэж ...
 Эцгээ цусаар уйлж ирсэн ч уучилж чадахгүй юм.
 Юу гэнээ. Тэр сүрхий ламыгаа аваад ир! Цөмийн чинь цусыг хормойлуулаад өгье."	цусан өшөө	bloody vengeance	<p>цусан өшөө: bloody vengeance</p>	[sound:125216.mp3]	108	125216
төлөөлөх	representative	Харин ижил дасал болсон танил хүмүүс, хоёр ч удаа эх 				[sound:88477.mp3]	108	88477
халдваргүйтгэл						[sound:104437.mp3]	108	104437
эрээн	chequered	" Хажуугийн хоёр хаалганаас эрээн гялаан юм үс гэзэгтээ зүүсэн байв
 Эрээн мяраан хувцастай эхнэрүүд нүдэнд тусаж байна.
Эрээн барс гэгчийг эмээлээр яахин сургана."	амьдралын эрээн бараан	the varied scenes of life	<p>амьдралын эрээн бараан: the varied scenes of life</p>	[sound:137424.mp3]	108	137424
шим	nourishment	Сав шимийн номд санаа зоригоо хандуулаад, сайхан төрүүлсэн эхдээ салахын ёсыг гүйцэтгэв.				[sound:132047.mp3]	108	132047
барагдуулах	cover	 Явуулбал зохих газраа явуулж шийтгүүлэн өчүүхэн манай 	хохирлыг барагдуулах төлбөр	liability for damage	<p>хохирлыг барагдуулах төлбөр: liability for damage</p>	[sound:11744.mp3]	108	11744
дизель	diesel	- Дизель мотор тавьчихвал онгоцны хурд хүчийг нэг дахин нэмэгдүүлж болох юм гэнэ.	дизель цахилгаан станц	diesel power plant	<p>Дизель цахилгаан станц: diesel power plant</p>	[sound:32903.mp3]	107	32903
бүлэглэл	family	 - Цэргийн бүлэглэлийн 	бүлэглэлийн арга	group and composite methods	<p>бүлэглэлийн арга: Group and composite methods</p>	[sound:19086.mp3]	107	19086
утгагүй	aimlessly		утгагүй хариулт	a vacant answer	<p>утгагүй эрэл хайгуул: wild goose chase</p><p>утгагүй яриа хөөрөө: vapid converstaion</p><p>утгагүй гөлрөлт: vacuous stare</p><p>утгагүй хариулт: a vacant answer</p>	[sound:97715.mp3]	107	97715
дөрөвт	fourth					[sound:34904.mp3]	107	34904
золиос	sacrifice	Арандал, үлдсэн ганц хүүгээ амь насны золиос болгон хар үйлсийн эздэд ингэж бэлэглэв.	хэн нэгний золиос болохыг шаардах	to hold smb. to ransom	<p>золиос болгох: to make sacrifice</p><p>эцсийн золиос: the ultimate sacrifice</p><p>тооцоолсон золиос: the intended victim</p><p>хэн нэгний золиос болохыг шаардах: to hold smb. to ransom</p>	[sound:47737.mp3]	107	47737
иймэрхүү	such as this	Ингэхэд чи иймэрхүү хэргээс болж л өгвөл бие зайлж болгоомжилж явах 	иймэрхүү нөхцөл байдалд	under such conditions	<p>иймэрхүү нөхцөл байдалд: under such conditions</p>	[sound:51762.mp3]	107	51762
хүнгүй	nobody	" Цэрэнгийн нэрийг зурхайч гутаасан тул авах хүн олдохгүй, эцэг эхээс өөр хэрэглэх хүнгүй 
- Хайран мөнгө, за чамайг би хүнгүй газар дайралдвал учрыг олно гэж Очир занаж хоцров.
Ялаа батгана бужигнах хүнгүй гудамжийг хэрэн нисэх зарим хэрээний цусанд нэвтэрсэн хошуу улаан байхыг би харж явлаа.
 Манай нутгийн лам нар уншаад уншаад бүтэхгүй байна, хүүхэд тогтохгүй 
- Ийм амьтад чинь одоо харж хандах, асарч халамжлах хүнгүй яах болж байна?
- Шидэхэд их дэлбэрэлтийн хүчинд морь хүнгүй бут үсрэн үхэж харагдах нь аймшигтай аж."	хүнгүй гудамж	empty streets	<p>хүнгүй байшин: vacant house</p><p>хүнгүй газар нутаг: gaunt landscape</p><p>хүнгүй гудамж: empty streets</p>	[sound:117729.mp3]	107	117729
дутмаг	poorly	" Бяр зориг дутмаг нь Баригдахгүй сийрч бултах юм.
- Тийм тансаг сайхан зургуудыг ганцаар үзэн, нуруу тэнийх нь сэтгэлд нэг л дутмаг."	зориг дутмаг	deficient in courage	<p>зориг дутмаг: deficient in courage</p>	[sound:35870.mp3]	107	35870
тэмдэглэгээ	stamp					[sound:92771.mp3]	107	92771
мэдүүлэх	to report	"Хошуу тамгын газар заалдан мэдүүлж тэр хоёр ядуу ард зайлтугай.
Го түшмэлийг аймгийн чуулганд мэдүүлж, түүний залан зангийн тушаалыг эвдүүлсэн удаатай.
Энэ бол хэдэн өдрийн өмнө Хонгор унаж амыг нь мэдүүлж 
Зохих газар очиж хэргээ мэдүүл хэмээн нэгэн буутай 
Би өөрийнхөө толгойг ганцхан Доржоор л мэдүүлнэ."				[sound:59470.mp3]	107	59470
төрүүлэх	to generate	"Хэрэв Юнгэн хатан үр төрүүлэхгүй бол би залуу хатан авах ёстой.
Ямар нэгэн үлэг том амьтан амьсгалаа дарж ямар нэгэн юмыг хүлээн байгаа мэт сэтгэгдэл төрүүлнэ.
Тэртээд харлах уулын жалга хунхуйд өвөлжсөн айлын ноход хааяа хөв хөв хуцах нь хүртэл аймшиг төрүүлнэ. "	өрөвдөх сэтгэлийг төрүүлэх	to arouse pity	<p>санаа төрүүлэх: to generate ideas</p><p>үзэн ядалтыг төрүүлэх: to generate hatred</p><p>сайхан сэтгэгдэл төрүүлэх: to create a good impression</p><p>шинэ үеийг төрүүлэх: to create a new generation</p><p>хүүхэд төрүүлэх: to give birth to</p><p>ихэр хүүхэд төрүүлэх: to give birth to twins</p><p>итгэлийн гал төрүүлэх: raise one's hopes</p><p>хүндэтгэл төрүүлэх: to command respect</p><p>хэн нэгэнд өөртөө итгэх итгэлийг нь төрүүлэх: to inspire confidence in so.</p><p>хэн нэгэнд өөртөө итгэх итгэлийг нь төрүүлэх: to inspire confidence in smb.</p><p>итгэл найдвар төрүүлэх: to infuse hope</p><p>хэн нэгний сонирхлыг төрүүлэх: to arouse smb.'s interest</p><p>өрөвдөх сэтгэлийг төрүүлэх: to arouse pity</p>	[sound:88877.mp3]	106	88877
ин	delusion	Ин гэдэг нь нэг үзүүр нь бүдүүн, нөгөө үзүүр нарийвтар чулуун бул юм.				[sound:52289.mp3]	106	52289
болохуйц	rated	- Сүүлийн хэдэн жилд малаа хамгийн жишээ 	аль болохуйц түргэн	as quickly as possible	<p>аль болохуйц түргэн: as quickly as possible</p>	[sound:14752.mp3]	106	14752
найруулга	wording	Хэлж байгаа үгний нь найруулга байдал нь хүртэл гагцхүү монгол бичгийн хэлэнд 	утга зохиолын хэл найруулга	lirerary language	<p>утга зохиолын хэл найруулга: lirerary language</p>	[sound:61169.mp3]	106	61169
гавьяа	performance	"- Монголын ард түмний аугаа их амжилт нь нөхөр 
Одоо л тэд гавьяа байгуулах эсэхээ үзэх болж
 Ц.Мөнх гуай, Чойжгоо хоёр маань төрийн дээд шагнал “хөдөлмөрийн гавьяаны улаан тугийн одон” хүртэв.
Хойчийн шинэ ертөнцөд хүндтэй гавьяа байгуулна ... ...
. 
 Ай даа, улсынхаа энэ сайхан ажилд гар бие оролцохоос илүү эрхэм гавьяа одоо үеийн залуу хүнд байхгүй юм байх аа!.
-
Үхээнц ноёд цэргийн гавьяа зүтгэлийг талаар болгожээ.
- Чингисийн бие хол ойрын гавьяа тусыг байцаажээ.
Алдар цол, гавьяа шагнал хүртэхээрээ боллоо.
- Цаг эцэстэл үр ач дэлгэрч гавьяа эрдмийн хойноос хөөлгөж явна.
Ажил үйл бүтэмжтэй, алдар гавьяа өндөр болсон хэдий ч түүнд эхийн жаргал заяасангүй"	хүнийг гавьяа зүтгэлээр нь үнэлэх	to treat smb. according to his merits	<p>хүнийг гавьяа зүтгэлээр нь үнэлэх: to treat smb. according to his merits</p>	[sound:21454.mp3]	106	21454
билгүүн						[sound:13379.mp3]	106	13379
юү	coo	"Ах аа, энэ бутны хад гоц амттай юм, та идэхгүй юү?
 Хүүг харахад, царай нь цайн хоёр гараараа чээжээ дараад юү юүгүй унах гэж байх шиг болов."				[sound:138126.mp3]	106	138126
той		Той хуримынх биш ч гэлээ, тостой гараар бариагүй билээ.				[sound:86663.mp3]	106	86663
латин	roman	 Латин цагаан толгойн үсгээр бичсэн цахилгаан урьд өмнө ирдэггүй гагцхүү орос цагаан толгой хэрэглэдэг агсан.	латин цагаан толгой	roman alphabet	<p>латин цагаан толгой: roman alphabet</p>	[sound:54506.mp3]	106	54506
нийтлэл	essay					[sound:62390.mp3]	106	62390
тохирох	to belong	"Шинэ тогтсон засгийн хийж байгаа бүхэн Итгэлтэд хор болохгүй харин сэтгэлд нь яв цав тохирно.
Уул нь Сатай төрийн тэргүүн сайд болбол үнэхээр тохирч тэнцэх хүн байв.
Гучин гурван жилийн өмнө Дулам гэгч ядуу эмэгтэйтэй амьдралаа холбохоор тохирч орон нутагтаа иржээ."	тохирох жишээ	an appropriate example	<p>тохирох жишээ: an appropriate example</p>	[sound:87978.mp3]	106	87978
нандин	distingue	"Чи минь наддаа нандин эрдэнэ…
Хүний сэтгэхүйн нарийн нандинд бүрэн нэвтрэх даанч аргагүй юм."	ариун нандин газар	a sacred place	<p>ариун нандин газар: a sacred place</p>	[sound:61638.mp3]	105	61638
засварлах	to fix	энгээ нооргийг нь засварлаад зохиолчдын хорооны нөхөдтэй зөвлөжээ.	алдааг засварлах журналын бичилт	correct adjustment entry	<p>алдааг засварлах журналын бичилт: Correct adjustment entry</p><p>машин засварлах: to repair the machine</p><p>алдааг засварлах журналын бичилт: Correct adjustment entry</p>	[sound:47005.mp3]	105	47005
төгсгөл	completion		ярианы төгсгөл	the close of the speech	<p>амьдралын төгсгөл: (the) end of the chapter</p><p>замын төгсгөл: end of the road</p><p>замын төгсгөл: the end of the road</p><p>Ромын хаант улсын эцэс төгсгөл: the decline of the Roman Empire</p><p>ярианы төгсгөл: the close of the speech</p>	[sound:88293.mp3]	105	88293
танах	prune					[sound:84340.mp3]	105	84340
ханх		 Будгийн үнэр ханх 				[sound:105767.mp3]	105	105767
вант	realm	- НҮБ-ын ерөнхий 				[sound:21127.mp3]	105	21127
хуваарьтай	graduated	 - 	хуваарьтай тойрог	graduated circle	<p>хуваарьтай тойрог: graduated circle</p>	[sound:114222.mp3]	104	114222
үзэгдэх	to appear	"Саяхны хэдэн өдрөөс хөтөлгөө морь нь гундсан сайхан төрсөн ах үзэгдээд байх 
Тэгэхэд одоо үзэгдэхгүй буюу үзэгдэх төдий болсон нь харин байн байсаар бас л үеэ дуусгах болуужин хэмээн санана.
 Баасан хот айлынхандаа ад үзэгдэж эхлэв."	аз жаргалтай үзэгдэх	look like a million dollars	<p>аз жаргалтай үзэгдэх: look like a million dollars</p>	[sound:99693.mp3]	104	99693
нэгт	counterpart					[sound:65213.mp3]	104	65213
хуулбар	transcript	"- Хуулбарыг эндэх хятад амбаны газар өгсүгэй гэжээ.
 - Орчин үеийн “хуулбар 
 - Ховор сонин бичгийн гэрэл зургийн хуулбар бүрэн байгааг үзлээ."	алдартай зургийн хуулбар	a copy of famous painting	<p>гэрэл зургийн хуулбар: a reproduction of the photograph</p><p>хосгүй хуулбар: perfect reproduction</p><p>гаргацтай хуулбар: a fair copy</p><p>алдартай зургийн хуулбар: a copy of famous painting</p>	[sound:116575.mp3]	104	116575
өг	don't give up the ship	Багш шавь хоёрын хооронд өг төг яриа бишгүй л гардаг.				[sound:70682.mp3]	104	70682
хасагдах	to be deducted	 Хөрөнгөө хураалгаж, эрх ямба нь хасагдсан хар шар феодлууд хууран 				[sound:107287.mp3]	104	107287
дагалдах	follow	"- Ерөнхий сайд дагалдан явагчдын хамт, онгоцноос буув.
 - Юу ч мэдэхгүй ам дагалдаж байгаа биз.
- Машин дээр хэдэн сар дагалдан хийгээд жинхэлсэн юм."	найзыгаа дагалдах	to accompany a friend	<p>найзыгаа дагалдах: to accompany a friend</p>	[sound:30048.mp3]	104	30048
агаартай	pneumatic					[sound:1435.mp3]	104	1435
содон	extraordinary	" Орой дээрх оддын дундаас оргил цолмон содон доо хөө.
Сонсох бүр яруу баялгийг гайхан баясаж, сод их билигт түмэн юугаан бишрэн магтмуу би.
Сүхбаатар бол түүхэнд тодорсон сод хүн төдийгүй ард түмний шилдэг сайн чанар бүхнийг биедээ шингээсэн шинэ хүний нийтлэг дүр юм.
Янлиутай тамхи, содон үнэрт цай болон эхүүн ногоо ханхлан халуун ханз дороос төөнөж Магсаржавын бие нозоорно.
Холын гийчний сониуч нүдэнд содон соргог юм улам ч олон тусаж Буянд шинэ шинэ бодол ургаж байлаа.
Ханцуйгаа сугалдаргалан урд хормойгоо бүсэндээ хавчуулсан хүн бадарчтай ярилцан зогсож байгаа нь содон харагдав.
Эгч ах нарынхаа адил эцгийнхээ содон сайхан дүрийг зүрх сэтгэлдээ зурвасхан боловч зураглан үлдээжээ."				[sound:77691.mp3]	103	77691
караоке	karaoke					[sound:53531.mp3]	103	53531
дэлгэрүүлэх	to disperse	" - Шинэ санаачилгын бүртгэл хөтлүүлж, хэрэгцээтэй 
 - Хурц шүүмжлэлийг дэлгэрүүлж чадвал хуучныг халж шинийг зохионо."	мэдлэгийг дэлгэрүүлэх	to disseminate knowledge	<p>мэдлэгийг дэлгэрүүлэх: to disseminate knowledge</p>	[sound:38022.mp3]	103	38022
дүрслэх	to image	"- Ургуулан бодож харьцуулан дүрслэхгүйгээр сайн шүлэг бүтнэ гэхэд итгэшгүй.
 - Олон чийрэг нүцгэн эрчүүд харцага шувууг дүрслэн дэлж, начин шонхрыг дүрслэн шумбаж өөр хоорондоо 
 - Хүмүүс ээжийгээ ярихад би гэрийнхээ хаяанаас талдаа бэлчсэн "	газар нутгийг дүрслэх	to paint landscape	<p>хүний амьдралыг дүрслэх: to outline one's life</p><p>газар нутгийг дүрслэх: to paint landscape</p>	[sound:36869.mp3]	103	36869
худалдаалах	to clear	 Үүнийг бас говь нутаг тариалангүй нутаг хошууд, хүрээ хиагт руу аваачиж худалдаалдаг байж 				[sound:114815.mp3]	103	114815
дамжих	via	" - Энэ хадыг чинь янгир шиг дамжиж ирнэ.
Дамдин, гайхан хүн хүний гар дамжих тэрхүү бичгийг 
- Олон хот дамжин өнгөрч...
- Ажил төрөл, хайр дурлал, танил нөхдийн үй түмэн захидал, утас, илгээлт холбоогоор дамжина.
- Очир начны тухай нутгийн ард олны дотор одоо хүртэл ам "				[sound:31459.mp3]	103	31459
мэдэлтэй	worth power or authority	"Энэ гэрийн гол мэдэлтэй хүн 
Суманд өртчихөв өө. Мэдэлтэй байгаарай!"				[sound:59520.mp3]	102	59520
орлох	substitude	"Гэтэл тэр их уяа ногтыг орлох материал ирүүлж яагаад болохгүй байх билээ.
Үнэндээ харж хандах ганц хүүг нь орлож үлдсэн юм чинь асарч хүндэтгэлгүй яахав дээ."	махыг хангалттай орлох зүйл	a satisfactory substitute for meat	<p>махыг хангалттай орлох зүйл: a satisfactory substitute for meat</p>	[sound:68945.mp3]	102	68945
цом	goblet	" - Зүүн талд нэг авдрын дээр аяга, цом, пял таваг зэрэг байна.
 Өөрийн гараар нэгэн цом цай хийв.
 Болор цомын эзэн боллоо"				[sound:123888.mp3]	102	123888
цэгцлэх	arrangement	 Өртөө улаанд 	баримтыг цэгцлэх	to marshal facts	<p>номыг цэгцлэх: the arrangement of books</p><p>номыг цэгцлэх: to arrange the books</p><p>бичиг цаас цэгцлэх: to systematize paperwork</p><p>номыг боож цэгцлэх: to pack books</p><p>тавиур дээрх барааг цэгцлэх: to range goods on shelves</p><p>баримтыг цэгцлэх: to marshal facts</p>	[sound:125932.mp3]	102	125932
саран	moonrise	"Ялгам сайхан сар минь 
Сар шингэж үүрийн харанхуй болоод хүйтэрч байна.
Нар сар хиртэх, ган зуд болох буюу гэрэл гэгээ туяа үзэгдэхийг далимдуулна.
Од сар тохиох өдрийг хүлээж суувал ёстой нөгөө “мэндгүй зөрөхийг мэдсэн бол мэндийг юунд хүлээлээ” гэдэг шиг болно.
Арван тавны сар том боловч арван зургаанаас эхлэн бага болж эхэлдэг болохоор тусгүй.
Үүл ярагдан, тэргэл сар дахин мэлтийж жалганы ёроолыг тодхон гэрэлтүүлэв.
Тэнгэр бүрхсэн сэмжин үүлний чөлөөгөөр хавирган сар ёлтойн урдах замыг нь гэрэлтүүлнэ.
Ширэм орондоо хэвтсэн ч сарны гэрэл цонхоор тусаж нойр нь хулжжээ.
Та нар л орчлонгийн нар сар болсон ганц хүүг минь аюулаас аварч үзээрэй! гээд үнсэв.
Дээр үед баг гэж байхын үеэс барьсан тал саран хороотой бууц байдаг 
Хамгийн эхлээд бяцхан саран тамга час улаан болов.
Жирвийсэн саран хөмсөгтэй яа хөө, жигдэрсэн танын мишээлтэй яа хөө."				[sound:76814.mp3]	102	76814
бадрал	inspiration					[sound:10391.mp3]	102	10391
сануулах	to prompt	"Цэргүүдээс баригдвал хэрүүл маргааны шалтаг өгч огт болохгүй гэж сануул 
 Харин чамдаа ганцхан юм дахин сануулж хэлэхэд миний ярьсан энэ бүхнийг хэнд ч задруулж үл болно."	байн байн сануулах	to remind constantly	<p>томоотой байхыг сануулах: to remind to be well behaved</p><p>байн байн сануулах: to remind constantly</p>	[sound:76764.mp3]	102	76764
товчоо	bureau	Өөрийн эзэнд элбэрч улс гэрийн товчоо хэлхээг засах учир шүүмжийг бичүүлэв.	интернет сурталчилгааны товчоо	internet advertising bureau	<p>интернет сурталчилгааны товчоо: Internet advertising bureau</p>	[sound:86222.mp3]	102	86222
үрс		Гүү барих ёслол эхлэхэд Чоросбай өнгөт дээлээ өмсөж, сайн морио унаж, өөрөө гүүний үрс гаргах ёслолыг удирдан эхлэв.				[sound:101088.mp3]	102	101088
амттай	yummy	"Говьчуул хийгээд завсар тал нутгийнхан тэмээн хөх хэмээх сүүлэг цагаан шүүс бүхий, удын навчин хэлбэртэй, чихэрлэг амттай ногоог амтархан идэх дуртай.
Хээрийн цай амттай гэж байдагсан."	чихэрлэг амттай байх	to taste sweet	<p>амттай хоол: palatable food</p><p>амттай хоол: toothsome dish</p><p>чихэрлэг амттай байх: to taste sweet</p>	[sound:5031.mp3]	102	5031
өвөг	forefather	"Баарины өвөг тэр болов.
Чиний өвөг эцэг, миний 
Хоёрдугаарт элэнц өвөг гэнэ.
Ясан төрөл юу вэ? гэвэл тэргүүнд хуланц өвөг гэнэ.
Цагаан дээлт Дамдингийн өвөг дээдэс амьдарч агсан тэр уудам тал нутгийг туулан тувт алхаагаар аялж явлаа."				[sound:70317.mp3]	101	70317
сануулга	warning	" Мөнгөн торгууль хүлээсэн ба бусад уурхайчид сануулга авч, тэрхүү шийтгэгдэгчдийн тоонд Дорж орсон билээ.
Зохих газраас анхааруулга сануулга хэд хэдэн удаа авсан.
Чингээд тухайн сайдуудаас чамд зохих заавар сануулга өгнө.
Малчин ардад сургамж сануулга болгож туйлын чухал үгнүүдийг хэлжээ."	хугацаа дуусаж байгаа талаарх сануулга	reminder of due date	<p>хурд хэтрүүлснээс сануулга өгөх: to caution against driving fast</p><p>хугацаа дуусаж байгаа талаарх сануулга: reminder of due date</p>	[sound:76768.mp3]	101	76768
хүмүүжил	breeding	"- Хүүхдийнх нь хүмүүжил, тэр байгааг нь үзэхэд Бэгз ч яггүй хүн байж таарна аа.
- Хувийн жижиг пүүс худалдаа цөм хөрөнгөө улсынхтай нийлүүлж, намын суртал ухуулга, хүмүүжлийн ажил их сайн явуулдаг юм дагаа."	сайн хүмүүжил	good breeding	<p>сайн хүмүүжил: good breeding</p>	[sound:117538.mp3]	101	117538
буруутгах	to blame	- Дандаа л зэмлээд буруутгаад л байдаг улсад хүртэл хүн дасчихдаг юм билээ.	зөвлөлийн бодлогыг буруутгах	to denounce the council's policies	<p>хулгай хийсэн хэмээн буруутгах: to accuse of theft</p><p>хулгай хийсэн хэмээн буруутгах: to accuse smb. of theft</p><p>буруутгах: tax one with</p><p>зөвлөлийн бодлогыг буруутгах: to denounce the council's policies</p>	[sound:17811.mp3]	101	17811
тогтоогч	rotating chuck					[sound:86445.mp3]	101	86445
гаж	strange	"- Тэр үзүүрт суугч гаж буруу хүн хэн гэгч хэсээчин бэ?
- Зан ааш нь ийнхүү гаж этгээд болжээ.
- Гажтай модоор юм хийхэд хэцүү."				[sound:21782.mp3]	100	21782
тэмдэглэлт	worthy to celebrate					[sound:92784.mp3]	100	92784
баталгаат	guaranteed	- Зөвхөн баталгаат замаар л явахыг жолооч нарт сонордуулж байна.				[sound:12636.mp3]	100	12636
ядуурал	poverty	"Ажилгүйдэл ядуурал газар авч олон хүмүүс 
 Монголд ядуурлыг бууруулах хөтөлбөрийн хүрээнд тус суманд 300 айлыг орон гэртэй болгох талаар төлөвлөгдсөн байна."	ядуурал	to conquer disease and poverty	<p>ядуурал: to conquer disease and poverty</p>	[sound:138688.mp3]	100	138688
чанарт	thorough					[sound:127078.mp3]	100	127078
дүрэмт	garb	- Ирсэн гурван хүний хоёр нь цэргийн дүрэмт хувцастай нэг нь энгийн хувцастай ажээ.				[sound:36943.mp3]	100	36943
буурай	indigent	"- Буурайг тэтгэн дарагдсаныг тэнхрүүлэх нь бачим зант миний багаас явсан энгийн явдал бөлгөө.
- Энэ дэлхий дээр баян хүн ч байдаг, буурай ядуу ч байдаг."				[sound:18185.mp3]	100	18185
хавдартай	inflated	Цус шүүрсэн хөх алаг хавдартай болгов.				[sound:102474.mp3]	100	102474
гадуурхах	to consider as foreign	- Ер нь түүнийг ард үзэлтэй гэж гадуурхах 	эмэгтэйчүүдийг ялгаварлан гадуурхах	to discriminate women	<p>эмэгтэйчүүдийг ялгаварлан гадуурхах: to discriminate women</p>	[sound:21763.mp3]	100	21763
дундах	center	"- Дундах морь нээрэн доголжээ.
- Дархан энэ бүгдийг ажиглаж сууснаа шүүрс алдан цонхноос холдож хоосон тасалгааны дундах ширээн дээр аяга таваг "	дундах хүний халдлага	man in the middle attack	<p>дундах хүний халдлага: man in the middle attack</p>	[sound:35502.mp3]	100	35502
электрон	electron	Албан бичиг, зураг болон бусад бүх төрлийн мэдээллийг найдвартай түргэн шуурхай дамжуулах үйлчилгээ бүхий электрон шуудан ажиллаж байна.	электрон худалдааны агент	electronic commerce agent	<p>электрон брокерийн үйл ажиллагаа: electronic brokerage</p><p>электрон худалдааны агент: electronic commerce agent</p>	[sound:135980.mp3]	100	135980
зөвлөгөөн	session	Бид ургаараа их 	төрийн удирдагчдын зөвлөгөөн	heads of government conference	<p>төрийн удирдагчдын зөвлөгөөн: Heads of Government Conference</p>	[sound:48282.mp3]	99	48282
ололт	detection	Манай ажилд ихээхэн амжилт ололт бий боллоо.	бахархмаар ололт	a proud achievement	<p>бахархмаар ололт: a proud achievement</p>	[sound:67575.mp3]	99	67575
фунт	pound	 Тэр халаасандаа хэдэн фунттэй хажуудаа олон авгайтай хүн.	фунт стерлингийг долларт шилжүүлэх	the conversion of pounds to dollars	<p>фунт стерлингийг долларт шилжүүлэх: the conversion of pounds to dollars</p>	[sound:102068.mp3]	99	102068
рашаан	mineral water	" Тус улсын нутаг Туул, Хэрлэн, Орхон голд Хужиртын рашаан 
Хамаг амьтныг ундлах, рашаан болсон ус
Бадгар, Гүмбүм, Утай, Ар богдын хүрээгээр мөргөл хийж, номтой хүнтэй золгож, номын рашаанаас хүртэлцсэн хүн "	халуун рашаан сувилал	a hot- spring resort	<p>хийжүүлсэн рашаан: bubbly mineral water</p><p>хийжүүлсэн рашаан: bubbly mineral water</p><p>халуун рашаан сувилал: a hot- spring resort</p><p>халуун рашаан сувилал: a hot- spring resort</p>	[sound:74133.mp3]	99	74133
өөрчлөгдөх	evolution	Тэр яриа жолооч нарын дунд өөрчлөгдөн яригдах болов.	маш их өөрчлөгдөх	to be greatly altered	<p>салхи өөрчлөгдөх: a shift in the wind</p><p>маш их өөрчлөгдөх: to be greatly altered</p>	[sound:72605.mp3]	99	72605
дэглэмтэй	orderly	- Их замын дагуух улсын том буухиа өртөөнд өвөрмөц журам дэглэмтэй билээ.				[sound:37722.mp3]	99	37722
зориулалт	dedication					[sound:48003.mp3]	99	48003
витамин	vitamin		витамины дутагдалтай	deficient in vitamins	<p>витамины дутагдалтай: deficient in vitamins</p>	[sound:21181.mp3]	99	21181
бүтээгч	author	) - Зохион бүтээгч 	агуу их зохион бүтээгч	a great inventor	<p>агуу их зохион бүтээгч: a great inventor</p>	[sound:19674.mp3]	99	19674
